Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,BounceRates,PageValues,SpecialDay,Region,Weekend,VisitorType,Month,TrafficType,OperatingSystems,Browser,Revenue
0,0,0,0,1,0.2,0,0,1,FALSE,Returning_Visitor,Feb,1,1,1,FALSE
0,0,0,0,2,0,0,0,1,FALSE,Returning_Visitor,Feb,2,2,2,FALSE
0,0,0,0,1,0.2,0,0,9,FALSE,Returning_Visitor,Feb,3,4,1,FALSE
0,0,0,0,2,0.05,0,0,2,FALSE,Returning_Visitor,Feb,4,3,2,FALSE
0,0,0,0,10,0.02,0,0,1,TRUE,Returning_Visitor,Feb,4,3,3,FALSE
0,0,0,0,19,0.015789474,0,0,1,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,1,0.2,0,0.4,3,FALSE,Returning_Visitor,Feb,3,2,4,FALSE
1,0,0,0,0,0.2,0,0,1,TRUE,Returning_Visitor,Feb,5,1,2,FALSE
0,0,0,0,2,0,0,0.8,2,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,3,0,0,0.4,1,FALSE,Returning_Visitor,Feb,2,2,4,FALSE
0,0,0,0,3,0,0,0,3,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,16,0.01875,0,0.4,4,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,7,0,0,0,1,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,6,0,0,0,1,FALSE,Returning_Visitor,Feb,3,2,5,FALSE
0,0,0,0,2,0,0,0,3,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
2,53,0,0,23,0.008333333,0,0,9,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,1,0.2,0,0,4,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,13,0,0,0,1,TRUE,Returning_Visitor,Feb,4,1,1,FALSE
0,0,0,0,2,0,0,0,1,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,20,0,0,0,4,FALSE,Returning_Visitor,Feb,4,2,4,FALSE
0,0,0,0,8,0,0,1,5,TRUE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,2,0.2,0,0,1,FALSE,Returning_Visitor,Feb,3,3,3,FALSE
0,0,0,0,3,0,0,0,1,FALSE,Returning_Visitor,Feb,5,3,2,FALSE
0,0,0,0,2,0,0,0.8,1,FALSE,Returning_Visitor,Feb,3,2,4,FALSE
0,0,0,0,1,0.2,0,0,4,TRUE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,5,0,0,0,9,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
4,64.6,0,0,32,0.002857143,0,0,1,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,4,0.05,0,0,1,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,4,0,0,0.2,1,FALSE,Returning_Visitor,Feb,3,2,6,FALSE
1,6,1,0,45,0.043478261,54.17976426,0.4,1,FALSE,Returning_Visitor,Feb,1,3,2,FALSE
0,0,0,0,2,0,0,0,6,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,3,0,0,0,6,TRUE,Returning_Visitor,Feb,6,1,2,FALSE
0,0,0,0,8,0,0,0,1,FALSE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,10,0.04,0,0,3,FALSE,Returning_Visitor,Feb,1,1,1,FALSE
0,0,0,0,14,0.014285714,0,0,1,FALSE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,52,0.015384615,0,0,7,FALSE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,8,0.025,0,0,1,TRUE,Returning_Visitor,Feb,4,3,2,FALSE
2,18,0,0,5,0,0,0.8,8,FALSE,Returning_Visitor,Feb,4,2,2,FALSE
0,0,0,0,7,0.028571429,0,0.6,1,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,9,0,0,0,1,FALSE,Returning_Visitor,Feb,6,2,5,FALSE
1,9,0,0,46,0,0,0,8,FALSE,Returning_Visitor,Feb,4,2,2,FALSE
0,0,0,0,3,0,0,0.6,3,FALSE,Returning_Visitor,Feb,2,1,1,FALSE
0,0,0,0,15,0,0,0,4,FALSE,Returning_Visitor,Feb,4,1,1,FALSE
0,0,0,0,2,0,0,0.4,2,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
0,0,0,0,4,0,0,0,1,FALSE,Returning_Visitor,Feb,3,4,1,FALSE
0,0,0,0,22,0.003030303,0,0.2,1,FALSE,Returning_Visitor,Feb,4,2,5,FALSE
0,0,0,0,14,0.017142857,0,0,1,FALSE,Returning_Visitor,Feb,2,1,1,FALSE
0,0,0,0,3,0.066666667,0,0.2,1,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
0,0,0,0,11,0,0,0,1,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
0,0,0,0,1,0.2,0,0.6,3,FALSE,Returning_Visitor,Feb,2,2,2,FALSE
0,0,0,0,1,0.2,0,0,3,TRUE,Returning_Visitor,Feb,4,1,1,FALSE
0,0,0,0,12,0.011111111,0,0.2,1,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
0,0,0,0,2,0,0,1,4,TRUE,Returning_Visitor,Feb,2,2,4,FALSE
0,0,0,0,4,0,0,0,2,FALSE,Returning_Visitor,Feb,3,4,2,FALSE
0,0,0,0,4,0.05,0,0.4,1,FALSE,Returning_Visitor,Feb,4,3,3,FALSE
0,0,0,0,1,0.2,0,0.2,1,FALSE,Returning_Visitor,Feb,3,2,4,FALSE
0,0,0,0,1,0.2,0,0.6,3,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
4,56,2,120,36,0,19.44707913,0.2,4,FALSE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,4,0,0,0.4,6,FALSE,Returning_Visitor,Feb,3,2,6,FALSE
2,16,0,0,16,0.011764706,0,0.6,2,FALSE,Returning_Visitor,Feb,1,2,4,FALSE
0,0,0,0,6,0,0,0.4,3,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
0,0,0,0,8,0.05,0,0,1,FALSE,Returning_Visitor,Feb,3,1,1,FALSE
12,279.4166667,0,0,42,0.009,38.30849268,0,3,FALSE,Returning_Visitor,Feb,2,1,1,FALSE
0,0,0,0,14,0,0,0,5,TRUE,Returning_Visitor,Feb,4,2,2,FALSE
0,0,0,0,1,0.2,0,0,4,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
3,87.83333333,0,0,27,0,22.9160357,0.8,3,FALSE,Returning_Visitor,Feb,1,2,2,TRUE
4,44,0,0,90,0.002150538,0,0,1,FALSE,Returning_Visitor,Feb,3,4,1,FALSE
0,0,0,0,1,0.2,0,0.6,5,FALSE,Returning_Visitor,Feb,1,2,2,FALSE
0,0,0,0,18,0,0,0,2,FALSE,Returning_Visitor,Feb,4,2,7,FALSE
0,0,0,0,1,0.2,0,0.2,3,FALSE,Returning_Visitor,Feb,3,3,2,FALSE
0,0,0,0,1,0.2,0,0,1,FALSE,Returning_Visitor,Feb,2,2,6,FALSE
0,0,0,0,20,0.025,0,0,6,FALSE,Returning_Visitor,Feb,1,2,6,FALSE
0,0,0,0,2,0,0,0.4,3,FALSE,Returning_Visitor,Feb,3,2,2,FALSE
0,0,0,0,8,0,0,0,3,FALSE,Returning_Visitor,Feb,2,2,4,FALSE
0,0,0,0,3,0,0,0,3,FALSE,Returning_Visitor,Feb,3,2,4,FALSE
0,0,0,0,16,0,0,0,1,FALSE,Returning_Visitor,Feb,1,2,4,FALSE
